Vps33b
Ankrd26
Atp1a3
Atp1a3
Samd11
Ntng2
Ntng2
Ntng2
Eif2ak1
Ifna16
Mapk12
Eif2ak4
Eif2ak4
Spdef
Spdef
Spdef
Spdef
Spdef
Spdef
Spdef
Spdef
Spdef
Spdef
Spdef
Spdef
Spdef
Pcm1
Spocd1
Rnf17
Rnf17
Pak4
mCX3CR1/iso:1
Src
Src
Src
Src
Src
Src
Spp1
Spp1
Sptb
Spta1
Spta1
Spta1
Spta1
Spta1
Spta1
Spta1
Spta1
Spn
Spn
Wars2
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox9
Sox8
Sox8
Sox8
Sox8
Sox8
Sox8
Sox8
Sox8
Sox8
Sox8
Sox8
Sox8
Sox8
Sox8
Sox7
Sox6
Sox6
Sox6
Sox6
Sox6
Sox6
Sox6
Sox6
Sox6
Sox6
Sox6
Sox6
Sox6
Sox6
Sox6
Sox5
Sox5
Sox5
Sox5
Sox5
Sox5
Sox5
Sox5
Sox4
Sox4
Sox4
Sox4
Sox4
Sox4
Sox4
Sox3
Sox3
Sox3
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox2
Sox15
Sox15
Sox15
Sox15
Sox14
Sox13
Sox13
Sox13
Sox13
Sox13
Sox12
Sox11
Sox11
Sox11
Sox11
Sox11
Sox11
Sox11
Sox11
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox10
Sox1
Sox1
Sox1
Sox1
Sox1
Sox1
Sox1
Sos1
Sod2
Sod2
Sod2
Sod2
Sod1
Sod1
Sod1
Sod1
Snai1
Snai1
Snai1
Snai1
Snai1
Snai1
Zglp1
Zglp1
Zglp1
Zglp1
Zglp1
Ski
Ski
Ski
Ski
Ski
Ski
Samd9l
Sim2
Sim1
Sprr4
St3gal1
Nkx2-2os
Obox4
Elf3
Elf3
Ndufs4
Thbs4
Hpse
Dock2
Dock2
Dock2
Robo3
Robo3
Robo3
Robo3
Robo3
Robo3
Robo3
Robo3
Robo3
Robo3
Robo3
Robo3
Atf4
Atf4
Atf4
Atf4
Arnt
Areg
Areg
Ar
Ar
Ar
Emx1
Emx1
Emx1
Emx1
Emx1
Emx1
Emx1
Emx1
mPLP1/iso:DM-20
Gsdmc2
Anks1
Ccr7
Ccr7
Il15
Il15
Il15
Il15
Il15
App
App
App
App
App
App
App
App
App
App
App
App
App
App
App
App
Apoe
Apoe
Eif2b5
Eif2b5
Eif2b5
Farp1
Apoa1
Aplp2
Aplp1
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Cntnap2
Tmem30a
Gm4297
Foxp1
Foxp1
Foxp1
Foxp1
Foxp1
Foxp1
Foxp1
Foxp1
Xlr
Xist
Xist
Xist
Xist
Xbp1
Xbp1
Xbp1
Xbp1
Xbp1
Xbp1
Xbp1
Wt1
Wt1
Wt1
Wt1
Wt1
Wt1
Wt1
Wt1
Wt1
Wt1
Wt1
Wnt7b
Wnt7b
Wnt7b
Wnt7b
Wnt7b
Wnt7b
Wnt7b
Wnt7b
Wnt7b
Wnt7b
Wnt7a
Wnt7a
Wnt7a
Wnt7a
Wnt7a
Wnt7a
Wnt7a
Wnt7a
Wnt7a
Wnt7a
Wnt7a
Wnt6
Wnt6
Wnt5b
Wnt5b
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt5a
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt4
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
Wnt3a
