Gbp10
Mlh3
Ube2v2
Eif2ak1
Eif2ak1
Fbxo2
Man1c1
Themis2
Il17rc
Ifna16
Ifna16
Rad54b
Mapk12
Mutyh
Mutyh
Or5b111
Rad21l
Casp9
Casp9
Eif2ak4
Eif2ak4
Eif2ak4
Pak4
Src
Src
Cpne3
Cpne3
Spn
Itgb2l
Itgb2l
Or1x6
Sos2
Sos1
Sod2
Sod1
Sod1
Sstr3
Sstr3
Sstr2
Sstr2
Sstr2
Sstr2
Sstr1
Sstr1
Sstr1
Ube2g2
Vgf
Or5b109
Or5b108
Or5b107
Or5b106
Or5b105
Or5b104
Or5b102
Or5b101
Or5b99
Or5b98
Or5b24
Or5b12
Or5b97
Or5b96
Cyp2c69
Ms4a18
Nabp1
Nabp1
Or5b12b
Or5b21
Or5b95
Or5b94
Thbs4
Bmx
Kl
Or1ad6
Or1ad1
Or1f12
Or5b116
Or5b118
Areg
Areg
Araf
Araf
Ar
Ar
Anks1
Ccr7
Ccr7
Ccr7
Il15
Or5b122
Ostf1
Erlec1
Erlec1
Wnt7b
Wnt7b
Wnt7a
Wnt7a
Wnt6
Wnt6
Wnt5b
Wnt5b
Wnt5a
Wnt5a
Wnt4
Wnt4
Wnt3a
Wnt3a
Wnt3
Wnt3
Wnt2
Wnt2
Wnt1
Wnt1
Vip
Vip
Vip
Ticrr
Ticrr
Mcm6
Myzap
Clec11a
Lrp6
Lrp6
Lrp6
2700049A03Rik
F2rl2
F2rl3
Gng14
Cyp2f2
Cyp2e1
Cyp2d9
Cyp2d12
Cyp2d11
Cyp2d10
Cyp2b9
Rgs7bp
Prl5a1
Foxred2
Uba1y
Uba1
Tshr
Tshr
Tshr
Tshr
Tshb
Rapgef5
Psapl1
Ifi27l2a
Trh
Tpo
Cyp2c67
Cyp2c68
Dok6
Dok6
Defa24
Defa25
Syt12
Tek
Tec
Tec
Dntt
Cripto
Tslp
Map3k6
Map3k6
Tlk2
Trbv17
Trbv13-1
Trbv13-2
Trbv13-3
Trbv28
Trbv19
Trbv12-1
Trbv12-2
Rorb
Rorb
Bub3
Ccl27a
Gm3776
Chrm4
Chrm4
Chrm4
Chrm4
Chrm3
Chrm3
Chrm3
Chrm3
Chrm2
Chrm2
Chrm2
Chrm2
Chrm1
Chrm1
Chrm1
Chrm1
Chga
Cga
F3
F3
Cdk4
Cdk1
Cyp2c38
Cyp2c39
Cyp2c40
Cd8a
Cyp2c37
Tff2
Cd44
Cd40
Cd4
Cd247
Cd3g
Cd3e
Cd3d
Ptafr
Ptafr
Cd28
Ms4a1
Cilk1
Cd19
Cd14
Cd14
Gucy2d
Sucnr1
Mrgprh
Mrgprh
Gpr87
Gpr87
Rhoc
Gucy2g
Gpr84
Gpr84
Siva1
Hnf4g
Trbv2
Trbv26
Trbv23
Trbv21
Trbv30
Trbv3
Trbv31
Trbv14
Trbv15
Trbv16
Trbv4
Trbv5
Vmn2r76
Dgkk
Tcp11
Susd6
Tcf7
Fgf22
Fgf22
Gpr50
Gpr50
Babam2
Dedd
Ube2n
Pde3b
Abhd2
Arhgap31
Gab2
Gab2
Psmc6
Nucks1
Nucks1
Rasgrp2
Grap2
Rps6ka6
Or8g20
Cx3cr1
Cx3cr1
Cx3cr1
S1pr4
S1pr4
Or7a41
Rad17
Rad17
Rad17
Top3b
Sorbs2
Lrrc39
Ccdc68
Hsp90b1
Trhr
Trhr
Alpk1
Adra1d
Adra1d
Adra1d
Syap1
Fancl
Xrcc4
Xrcc4
Ccr6
Ccr6
Ccr6
Or7e165
Ccs
Ahrr
Or1a1b
Rrp8
Prl3a1
Fzd9
Fzd9
Fzd9
Nthl1
Or1x2
Zfp830
Zfp830
Gpx2
Or1j21
Ndrg4
Edem3
Swsap1
Neil3
Rasgrp3
Plppr2
Nae1
Msh6
Plch2
Or3a10
Cpne9
Map1lc3b
Eps8l1
C1qtnf12
Dedd2
Nr1h3
Nr2c1
Nr2c2
Samd14
Spns2
Csf2rb
Csf2rb
Apex2
Adgrf1
Adgrf1
Spidr
Bcl9
Dgkz
Bcl2a1c
Bcl2a1c
Bcl2a1c
Bcl2a1b
Bcl2a1b
Bcl2a1b
Bcl2a1d
Bcl2a1d
Bcl2a1d
Fpr2
Fpr2
Fpr2
Fpr2
Fpr-rs3
Fpr-rs3
Fpr-rs3
Fpr-rs3
Fpr-rs4
Fpr-rs4
Fpr-rs4
Fpr-rs4
Lrp5
Lrp5
Ppp1r1a
Trbv20
Stk35
Stk35
Dclre1b
Dclre1b
Prl8a9
Gpx7
Pidd1
Msra
Adgre1
Adgre1
Parp6
Srpk1
Gucy2c
Rhot2
Cap2
Defa35
Nlrp12
Mrgprf
Mrgprf
Anks1b
Fbxo17
Metrnl
Vmn2r1
Kidins220
Prr5
Tmem116
Tmem116
Rnf183
Gbp8
Smc6
Cul4a
Nprl2
Csnk1a1
Dusp15
Ube2t
Vmn2r111
Cdt1
Osgin2
Nradd
Lpar6
Vmn2r26
Chrna10
Rapgef6
Apex1
Stat2
Stat2
Prdx3
Prdx3
Rsu1
Parp16
Rassf3
Oscar
Pde2a
Pde2a
Tas1r3
Vmn2r14
Shh
Shc1
Shc1
Bmp15
Epha4
Epha4
Vmn2r129
Vmn2r10
Ccl6
Ccl6
Ccl6
Ccl6
Ccl6
Ccl6
Ccl6
Ccl6
Ccl6
Ccl6
Ccl5
Ccl5
Ccl5
Ccl5
Ccl5
Ccl5
Ccl5
Ccl5
Ccl5
Ccl4
Ccl4
Ccl4
Ccl4
Ccl4
Ccl4
Ccl4
Ccl4
Ccl4
Ccl4
Ccl3
Ccl3
Ccl3
