Bola3
Lsm6
Lsm6
Lsm6
Lsm6
Lsm6
Lsm6
Lsm6
Lsm6
Prmt6
Prmt6
Pam
Pam
Pam
Ppm1e
Ppm1e
Ppm1e
Pax2
Acsm5
Acsm5
Acsm5
Glyctk
Glyctk
Glyctk
Stt3a
Stt3a
Stt3a
Stt3a
Eif1
Eif1
Eif1
Eif1
Eif1
Eif1
Rad23a
Rad23a
Rad23a
Rad23b
Rad23b
Rad23b
Enoph1
Enoph1
Enoph1
Enoph1
P4ha3
Dusp23
Dusp23
Dusp23
Rp9
Rpl34
Rpl34
Rpl34
Dpy19l1
Alg6
Alg6
Alg6
Alg6
Tdrd3
Tdrd3
Map1lc3a
Map1lc3a
Map1lc3a
Map1lc3a
Map1lc3a
Map1lc3a
Map1lc3a
Map1lc3a
Map1lc3a
G6pc3
G6pc3
Mogat1
Mogat1
Mogat1
Primpol
Primpol
Primpol
Primpol
Primpol
Primpol
Primpol
Primpol
Primpol
Primpol
Primpol
Primpol
Primpol
Primpol
Primpol
Primpol
Hoxc9
Gm6133
Hoxb9
Hoxa9
Hoxa3
Hoxa3
Hoxa13
Rasgrp1
Dnase1l3
Dnase1l3
Dnase1l3
Dnase1l3
Dnase1l3
Dnase1l3
Dnase1l3
Hmox1
Hmox1
Hmox1
Hmox1
Hmox1
Hmox1
Hmox1
Hmox1
Hmga1b
Hmga1b
Lgsn
Acnat1
Acnat1
Acnat1
Hmgcr
Hmgcr
Hmgcr
Hmgcl
Hmgcl
Hmgcl
Hmgcl
Hmgcl
Hmgb2
Hmgn1
Hmgn1
Dip2a
Hmgb1
Hmgb1
Hmgb1
Hmgb1
Hmgb1
Hmgb1
Hmgb1
Hmbs
Hmbs
Hmbs
Hmbs
Hmbs
Hmbs
Hmbs
Hmbs
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Hk1
Acsbg3
Acsbg3
Spg7
Ces2c
Ces2c
Uvrag
Uvrag
Uvrag
Uvrag
Uvrag
Uvrag
Uvrag
Srbd1
Srbd1
Utp23
Utp23
Phb1
Bvht
Srd5a2
Klre1
Pik3r1
Pik3r1
Pik3r1
Pik3r1
Pik3r1
Pik3r1
Pik3r1
Upf1
Upf1
Upf1
Upf1
Upf1
Upf1
Upf1
Ndufs3
Ndufs3
Ndufs3
Ndufs3
Ndufs3
Ndufs3
Ndufs3
Ndufs3
Ndufs3
Ndufs3
Ndufb10
Ndufb10
Stn1
Stn1
Stn1
Stn1
Tsr3
Tsr3
Tsr3
Tsr3
Zfp36l1
